"Category","Satisfaction with support and training","The system is friendly?","Area of work","What feature would you like to see added in the future?","Date Submitted","How likely are you to continue using this product/service?"
"Can't login to SuccessFactors","Neutral","0","Exhaust plant","None","4/9/2025","2"
"ePayslip not opening","Not Satisfied","0","Weld plant","Videos as help guide","4/1/2025","3"
"ePayslip not opening","Satisfied","1","Exhaust plant","Password should not expire ","2/12/2025","4"
"Lack of communication or training","Not Satisfied","1","Paint Shop","Clocking data for hourly employees","4/8/2025","2"
"Can't login to SuccessFactors","Satisfied","1","Other","Clear messages or pop-ups on screen.  Everything was working fine but all of a sudden i cant login","4/8/2025","4"
"Lack of communication or training","Neutral","0","Mobeni","Good communication ","4/10/2025","3"
"Can't login to SuccessFactors","Neutral",,"Quantum","Not sure","4/8/2025","4"
"ePayslip not opening","Not Satisfied",,"Weld plant","Easy app","4/14/2025","3"
"Can't login to SuccessFactors","Not Satisfied","No","Paint Shop","I want video training","4/10/2025","4"
"ePayslip not opening","Satisfied","Yes","Assembly plant","more enhancement, no freeze","3/30/2025","5"
"ePayslip not opening","Very disatisfied","No","Exhaust plant",,"6/4/2025","1"
"Can't login to SuccessFactors","Neutral","No","Mobeni","Not sure","6/4/2025","4 – Likely"
"Lack of communication or training","Neutral","No","Weld plant","Alternative Systam","8/9/2024","3 – Neutral"
"ePayslip not opening","Satisfied","Yes","Assembly plant","Auto-update","12/27/2024","4 – Likely"
"Can't login to SuccessFactors","Not Satisfied","No","Exhaust plant","I want paper system","6/10/2025","2 – Unlikely"
"ePayslip not opening","Satisfied",,"Assembly plant","Auto-update","10/16/2024","5 – Extremely likely"
"Can't login to SuccessFactors","Not Satisfied","No","Exhaust plant","Suppport from Plant HR","6/17/2025","5 – Extremely likely"
"ePayslip not opening","Satisfied","Yes","Hino plant","Password should not expire","6/18/2024","4 – Likely"
"Lack of communication or training","Very disatisfied","No","Exhaust plant","No one to support employees","6/11/2025","5 – Extremely likely"
"ePayslip not opening","Neutral","Yes","Exhaust plant","Just human support","6/12/2024","4 – Likely"
"T-Talk not opening","Satisfied",,"Hino plant","Nothing","9/27/2024","4 – Likely"
"ePayslip not opening","Satisfied","Yes","Quantum","System should not freeze","6/17/2025","5 – Extremely likely"
"Can't login to SuccessFactors","Neutral","Yes","Hino plant","Easy guidelines to reset password","6/11/2025","4 – Likely"
"ePayslip not opening","Neutral","Yes","Paint Shop","Allow payslip bulk download","11/15/2024","5 – Extremely likely"
"T-Talk not opening","Satisfied","Yes","Hino plant","None","8/16/2024","5 – Extremely likely"
"Can't login to SuccessFactors","Satisfied","Yes","Hino plant","Not sure","6/9/2025","3 – Neutral"
"Can't login to SuccessFactors","Neutral","No","Quantum","Consistency","6/17/2025","5 – Extremely likely"
"ePayslip not opening","Neutral","Yes","Assembly plant","Bulk download","6/27/2024","5 – Extremely likely"
"Can't login to SuccessFactors","Satisfied","Yes","Quantum","Fast software","11/14/2024","5 – Extremely likely"
"Lack of communication or training","Not Satisfied",,"Other","Clear communication","7/10/2024","1 – Not at all likely"
